geo_code,geo_level,area,sex,literacy,total
192,district,Urban,Male,Literate,179476
193,district,Rural,Male,Literate,1045031
193,district,Urban,Male,Literate,115929
194,district,Rural,Male,Literate,1432198
194,district,Urban,Male,Literate,133196
195,district,Rural,Male,Literate,1186471
195,district,Urban,Male,Literate,107082
196,district,Rural,Male,Literate,608563
196,district,Urban,Male,Literate,90891
197,district,Rural,Male,Literate,769456
197,district,Urban,Male,Literate,619660
198,district,Rural,Male,Literate,463952
198,district,Urban,Male,Literate,82830
199,district,Rural,Male,Literate,733853
199,district,Urban,Male,Literate,131984
200,district,Rural,Male,Literate,468097
200,district,Urban,Male,Literate,133891
201,district,Rural,Male,Literate,546586
201,district,Urban,Male,Literate,100456
202,district,Rural,Male,Literate,360562
202,district,Urban,Male,Literate,92241
10,state,Rural,Male,Literate,27241830
10,state,Urban,Male,Literate,4366193
203,district,Rural,Male,Literate,956393
203,district,Urban,Male,Literate,134833
204,district,Rural,Male,Literate,1269900
204,district,Urban,Male,Literate,137703
205,district,Rural,Male,Literate,163161
205,district,Urban,Male,Literate,8484
206,district,Rural,Male,Literate,818192
206,district,Urban,Male,Literate,66996
207,district,Rural,Male,Literate,1283625
207,district,Urban,Male,Literate,56460
208,district,Rural,Male,Literate,609988
208,district,Urban,Male,Literate,37684
209,district,Rural,Male,Literate,669568
209,district,Urban,Male,Literate,58075
210,district,Rural,Male,Literate,386310
210,district,Urban,Male,Literate,53611
211,district,Rural,Male,Literate,686513
211,district,Urban,Male,Literate,118748
212,district,Rural,Male,Literate,660084
212,district,Urban,Male,Literate,102172
213,district,Rural,Male,Literate,486207
213,district,Urban,Male,Literate,31459
214,district,Rural,Male,Literate,449094
214,district,Urban,Male,Literate,57280
215,district,Rural,Male,Literate,984342
215,district,Urban,Male,Literate,141224
216,district,Rural,Male,Literate,1304006
216,district,Urban,Male,Literate,183111
217,district,Rural,Male,Literate,736279
217,district,Urban,Male,Literate,57626
218,district,Rural,Male,Literate,1046916
218,district,Urban,Male,Literate,68990
219,district,Rural,Male,Literate,1156940
219,district,Urban,Male,Literate,128827
220,district,Rural,Male,Literate,1068503
220,district,Urban,Male,Literate,84073
221,district,Rural,Male,Literate,1236255
221,district,Urban,Male,Literate,57320
222,district,Rural,Male,Literate,721880
222,district,Urban,Male,Literate,196627
223,district,Rural,Male,Literate,429300
223,district,Urban,Male,Literate,31853
224,district,Rural,Male,Literate,716790
224,district,Urban,Male,Literate,220879
225,district,Rural,Male,Literate,565932
225,district,Urban,Male,Literate,25029
226,district,Rural,Male,Literate,324241
226,district,Urban,Male,Literate,149500
227,district,Rural,Male,Literate,256145
227,district,Urban,Male,Literate,49037
228,district,Rural,Male,Literate,159124
228,district,Urban,Male,Literate,37307
229,district,Rural,Male,Literate,756523
229,district,Urban,Male,Literate,163035
230,district,Rural,Male,Literate,1035473
230,district,Urban,Male,Literate,992574
231,district,Rural,Male,Literate,824719
231,district,Urban,Male,Literate,148767
232,district,Rural,Male,Literate,530083
232,district,Urban,Male,Literate,63461
233,district,Rural,Male,Literate,523725
233,district,Urban,Male,Literate,26198
234,district,Rural,Male,Literate,898959
234,district,Urban,Male,Literate,162824
235,district,Rural,Male,Literate,779572
235,district,Urban,Male,Literate,89161
236,district,Rural,Male,Literate,1143417
236,district,Urban,Male,Literate,225386
237,district,Rural,Male,Literate,582080
237,district,Urban,Male,Literate,77394
238,district,Rural,Male,Literate,481184
238,district,Urban,Male,Literate,53201
239,district,Rural,Male,Literate,324140
239,district,Urban,Male,Literate,50272
240,district,Rural,Male,Literate,216267
240,district,Urban,Male,Literate,19012
11,state,Rural,Male,Literate,184245
11,state,Urban,Male,Literate,67024
241,district,Rural,Male,Literate,16694
241,district,Urban,Male,Literate,1885
242,district,Rural,Male,Literate,49711
242,district,Urban,Male,Literate,2277
243,district,Rural,Male,Literate,50339
243,district,Urban,Male,Literate,9018
244,district,Rural,Male,Literate,67501
244,district,Urban,Male,Literate,53844
12,state,Rural,Male,Literate,309390
12,state,Urban,Male,Literate,130478
245,district,Rural,Male,Literate,10035
245,district,Urban,Male,Literate,7685
