,,State,District,Level,Name,TRU,Total,sex,literacy type
Level,413,8,130,DISTRICT,Udaipur,Urban,261065,Male,Literate
Level,415,8,131,DISTRICT,Pratapgarh,Rural,220661,Male,Literate
Level,416,8,131,DISTRICT,Pratapgarh,Urban,29461,Male,Literate
Level,418,9,0,STATE,UTTAR PRADESH,Rural,51793688,Male,Literate
Level,419,9,0,STATE,UTTAR PRADESH,Urban,16441276,Male,Literate
Level,421,9,132,DISTRICT,Saharanpur,Rural,833060,Male,Literate
Level,422,9,132,DISTRICT,Saharanpur,Urban,387054,Male,Literate
Level,424,9,133,DISTRICT,Muzaffarnagar,Rural,1032545,Male,Literate
Level,425,9,133,DISTRICT,Muzaffarnagar,Urban,415983,Male,Literate
Level,427,9,134,DISTRICT,Bijnor,Rural,942936,Male,Literate
Level,428,9,134,DISTRICT,Bijnor,Urban,298535,Male,Literate
Level,430,9,135,DISTRICT,Moradabad,Rural,879994,Male,Literate
Level,431,9,135,DISTRICT,Moradabad,Urban,477441,Male,Literate
Level,433,9,136,DISTRICT,Rampur,Rural,470606,Male,Literate
Level,434,9,136,DISTRICT,Rampur,Urban,159802,Male,Literate
Level,436,9,137,DISTRICT,Jyotiba Phule Nagar,Rural,456283,Male,Literate
Level,437,9,137,DISTRICT,Jyotiba Phule Nagar,Urban,144258,Male,Literate
Level,439,9,138,DISTRICT,Meerut,Rural,606760,Male,Literate
Level,440,9,138,DISTRICT,Meerut,Urban,647760,Male,Literate
Level,442,9,139,DISTRICT,Baghpat,Rural,388481,Male,Literate
Level,443,9,139,DISTRICT,Baghpat,Urban,101377,Male,Literate
Level,445,9,140,DISTRICT,Ghaziabad,Rural,558355,Male,Literate
Level,446,9,140,DISTRICT,Ghaziabad,Urban,1253042,Male,Literate
Level,448,9,141,DISTRICT,Gautam Buddha Nagar,Rural,258660,Male,Literate
Level,449,9,141,DISTRICT,Gautam Buddha Nagar,Urban,407405,Male,Literate
Level,451,9,142,DISTRICT,Bulandshahr,Rural,954110,Male,Literate
Level,452,9,142,DISTRICT,Bulandshahr,Urban,299204,Male,Literate
Level,454,9,143,DISTRICT,Aligarh,Rural,876316,Male,Literate
Level,455,9,143,DISTRICT,Aligarh,Urban,407064,Male,Literate
Level,457,9,144,DISTRICT,Mahamaya Nagar,Rural,461121,Male,Literate
Level,458,9,144,DISTRICT,Mahamaya Nagar,Urban,118036,Male,Literate
Level,460,9,145,DISTRICT,Mathura,Rural,658485,Male,Literate
Level,461,9,145,DISTRICT,Mathura,Urban,284861,Male,Literate
Level,463,9,146,DISTRICT,Agra,Rural,882241,Male,Literate
Level,464,9,146,DISTRICT,Agra,Urban,732353,Male,Literate
Level,466,9,147,DISTRICT,Firozabad,Rural,623082,Male,Literate
Level,467,9,147,DISTRICT,Firozabad,Urban,289232,Male,Literate
Level,469,9,148,DISTRICT,Mainpuri,Rural,602521,Male,Literate
Level,470,9,148,DISTRICT,Mainpuri,Urban,109589,Male,Literate
Level,472,9,149,DISTRICT,Budaun,Rural,799893,Male,Literate
Level,473,9,149,DISTRICT,Budaun,Urban,186608,Male,Literate
Level,475,9,150,DISTRICT,Bareilly,Rural,846768,Male,Literate
Level,476,9,150,DISTRICT,Bareilly,Urban,495929,Male,Literate
Level,478,9,151,DISTRICT,Pilibhit,Rural,538786,Male,Literate
Level,479,9,151,DISTRICT,Pilibhit,Urban,115504,Male,Literate
Level,481,9,152,DISTRICT,Shahjahanpur,Rural,725363,Male,Literate
Level,482,9,152,DISTRICT,Shahjahanpur,Urban,189779,Male,Literate
Level,484,9,153,DISTRICT,Kheri,Rural,1076152,Male,Literate
Level,485,9,153,DISTRICT,Kheri,Urban,161005,Male,Literate
Level,487,9,154,DISTRICT,Sitapur,Rural,1214326,Male,Literate
Level,488,9,154,DISTRICT,Sitapur,Urban,183376,Male,Literate
Level,490,9,155,DISTRICT,Hardoi,Rural,1182280,Male,Literate
Level,491,9,155,DISTRICT,Hardoi,Urban,192307,Male,Literate
Level,493,9,156,DISTRICT,Unnao,Rural,858153,Male,Literate
Level,494,9,156,DISTRICT,Unnao,Urban,194910,Male,Literate
Level,496,9,157,DISTRICT,Lucknow,Rural,533656,Male,Literate
Level,497,9,157,DISTRICT,Lucknow,Urban,1208784,Male,Literate
Level,499,9,158,DISTRICT,Rae Bareli,Rural,1046389,Male,Literate
Level,500,9,158,DISTRICT,Rae Bareli,Urban,119576,Male,Literate
Level,502,9,159,DISTRICT,Farrukhabad,Rural,504652,Male,Literate
Level,503,9,159,DISTRICT,Farrukhabad,Urban,150175,Male,Literate
Level,505,9,160,DISTRICT,Kannauj,Rural,506915,Male,Literate
Level,506,9,160,DISTRICT,Kannauj,Urban,96681,Male,Literate
Level,508,9,161,DISTRICT,Etawah,Rural,477378,Male,Literate
Level,509,9,161,DISTRICT,Etawah,Urban,146205,Male,Literate
Level,511,9,162,DISTRICT,Auraiya,Rural,449437,Male,Literate
Level,512,9,162,DISTRICT,Auraiya,Urban,96761,Male,Literate
Level,514,9,163,DISTRICT,Kanpur Dehat,Rural,625151,Male,Literate
Level,515,9,163,DISTRICT,Kanpur Dehat,Urban,67813,Male,Literate
Level,517,9,164,DISTRICT,Kanpur Nagar,Rural,594367,Male,Literate
Level,518,9,164,DISTRICT,Kanpur Nagar,Urban,1234812,Male,Literate
Level,520,9,165,DISTRICT,Jalaun,Rural,489075,Male,Literate
Level,521,9,165,DISTRICT,Jalaun,Urban,164355,Male,Literate
Level,523,9,166,DISTRICT,Jhansi,Rural,439201,Male,Literate
Level,524,9,166,DISTRICT,Jhansi,Urban,344504,Male,Literate
Level,526,9,167,DISTRICT,Lalitpur,Rural,327392,Male,Literate
Level,527,9,167,DISTRICT,Lalitpur,Urban,70194,Male,Literate
Level,529,9,168,DISTRICT,Hamirpur,Rural,324610,Male,Literate
Level,530,9,168,DISTRICT,Hamirpur,Urban,83515,Male,Literate
Level,532,9,169,DISTRICT,Mahoba,Rural,232584,Male,Literate
Level,533,9,169,DISTRICT,Mahoba,Urban,69699,Male,Literate
Level,535,9,170,DISTRICT,Banda,Rural,519162,Male,Literate
Level,536,9,170,DISTRICT,Banda,Urban,111464,Male,Literate
Level,538,9,171,DISTRICT,Chitrakoot,Rural,293502,Male,Literate
Level,539,9,171,DISTRICT,Chitrakoot,Urban,36837,Male,Literate
Level,541,9,172,DISTRICT,Fatehpur,Rural,790476,Male,Literate
Level,542,9,172,DISTRICT,Fatehpur,Urban,120527,Male,Literate
Level,544,9,173,DISTRICT,Pratapgarh,Rural,1053356,Male,Literate
Level,545,9,173,DISTRICT,Pratapgarh,Urban,68025,Male,Literate
Level,547,9,174,DISTRICT,Kaushambi,Rural,464180,Male,Literate
Level,548,9,174,DISTRICT,Kaushambi,Urban,43099,Male,Literate
Level,550,9,175,DISTRICT,Allahabad,Rural,1587083,Male,Literate
Level,551,9,175,DISTRICT,Allahabad,Urban,612257,Male,Literate
Level,553,9,176,DISTRICT,Bara Banki,Rural,899301,Male,Literate
Level,554,9,176,DISTRICT,Bara Banki,Urban,111217,Male,Literate
Level,556,9,177,DISTRICT,Faizabad,Rural,703072,Male,Literate
Level,557,9,177,DISTRICT,Faizabad,Urban,135267,Male,Literate
Level,559,9,178,DISTRICT,Ambedkar Nagar,Rural,743063,Male,Literate
Level,560,9,178,DISTRICT,Ambedkar Nagar,Urban,103613,Male,Literate
Level,562,9,179,DISTRICT,Sultanpur,Rural,1219195,Male,Literate
Level,563,9,179,DISTRICT,Sultanpur,Urban,81053,Male,Literate
Level,565,9,180,DISTRICT,Bahraich,Rural,785971,Male,Literate
Level,566,9,180,DISTRICT,Bahraich,Urban,92314,Male,Literate
Level,568,9,181,DISTRICT,Shrawasti,Rural,264837,Male,Literate
