,,State,District,Level,Name,TRU,Total,sex
Level,413,8,130,DISTRICT,Udaipur,Urban,315485,Male
Level,415,8,131,DISTRICT,Pratapgarh,Rural,401171,Male
Level,416,8,131,DISTRICT,Pratapgarh,Urban,36573,Male
Level,418,9,0,STATE,UTTAR PRADESH,Rural,80992995,Male
Level,419,9,0,STATE,UTTAR PRADESH,Urban,23487515,Male
Level,421,9,132,DISTRICT,Saharanpur,Rural,1269803,Male
Level,422,9,132,DISTRICT,Saharanpur,Urban,564303,Male
Level,424,9,133,DISTRICT,Muzaffarnagar,Rural,1565004,Male
Level,425,9,133,DISTRICT,Muzaffarnagar,Urban,628430,Male
Level,427,9,134,DISTRICT,Bijnor,Rural,1438412,Male
Level,428,9,134,DISTRICT,Bijnor,Urban,482803,Male
Level,430,9,135,DISTRICT,Moradabad,Rural,1680022,Male
Level,431,9,135,DISTRICT,Moradabad,Urban,823164,Male
Level,433,9,136,DISTRICT,Rampur,Rural,916878,Male
Level,434,9,136,DISTRICT,Rampur,Urban,307011,Male
Level,436,9,137,DISTRICT,Jyotiba Phule Nagar,Rural,724539,Male
Level,437,9,137,DISTRICT,Jyotiba Phule Nagar,Urban,238910,Male
Level,439,9,138,DISTRICT,Meerut,Rural,894920,Male
Level,440,9,138,DISTRICT,Meerut,Urban,930823,Male
Level,442,9,139,DISTRICT,Baghpat,Rural,553807,Male
Level,443,9,139,DISTRICT,Baghpat,Urban,146263,Male
Level,445,9,140,DISTRICT,Ghaziabad,Rural,808222,Male
Level,446,9,140,DISTRICT,Ghaziabad,Urban,1680612,Male
Level,448,9,141,DISTRICT,Gautam Buddha Nagar,Rural,359605,Male
Level,449,9,141,DISTRICT,Gautam Buddha Nagar,Urban,530609,Male
Level,451,9,142,DISTRICT,Bulandshahr,Rural,1390490,Male
Level,452,9,142,DISTRICT,Bulandshahr,Urban,454770,Male
Level,454,9,143,DISTRICT,Aligarh,Rural,1308923,Male
Level,455,9,143,DISTRICT,Aligarh,Urban,643073,Male
Level,457,9,144,DISTRICT,Mahamaya Nagar,Rural,659814,Male
Level,458,9,144,DISTRICT,Mahamaya Nagar,Urban,176313,Male
Level,460,9,145,DISTRICT,Mathura,Rural,962028,Male
Level,461,9,145,DISTRICT,Mathura,Urban,405097,Male
Level,463,9,146,DISTRICT,Agra,Rural,1285184,Male
Level,464,9,146,DISTRICT,Agra,Urban,1079769,Male
Level,466,9,147,DISTRICT,Firozabad,Rural,891872,Male
Level,467,9,147,DISTRICT,Firozabad,Urban,440174,Male
Level,469,9,148,DISTRICT,Mainpuri,Rural,842374,Male
Level,470,9,148,DISTRICT,Mainpuri,Urban,151003,Male
Level,472,9,149,DISTRICT,Budaun,Rural,1630376,Male
Level,473,9,149,DISTRICT,Budaun,Urban,337383,Male
Level,475,9,150,DISTRICT,Bareilly,Rural,1530356,Male
Level,476,9,150,DISTRICT,Bareilly,Urban,827309,Male
Level,478,9,151,DISTRICT,Pilibhit,Rural,886789,Male
Level,479,9,151,DISTRICT,Pilibhit,Urban,185213,Male
Level,481,9,152,DISTRICT,Shahjahanpur,Rural,1293714,Male
Level,482,9,152,DISTRICT,Shahjahanpur,Urban,312689,Male
Level,484,9,153,DISTRICT,Kheri,Rural,1880679,Male
Level,485,9,153,DISTRICT,Kheri,Urban,242508,Male
Level,487,9,154,DISTRICT,Sitapur,Rural,2098123,Male
Level,488,9,154,DISTRICT,Sitapur,Urban,277141,Male
Level,490,9,155,DISTRICT,Hardoi,Rural,1906147,Male
Level,491,9,155,DISTRICT,Hardoi,Urban,285295,Male
Level,493,9,156,DISTRICT,Unnao,Rural,1351897,Male
Level,494,9,156,DISTRICT,Unnao,Urban,278190,Male
Level,496,9,157,DISTRICT,Lucknow,Rural,813752,Male
Level,497,9,157,DISTRICT,Lucknow,Urban,1580724,Male
Level,499,9,158,DISTRICT,Rae Bareli,Rural,1592449,Male
Level,500,9,158,DISTRICT,Rae Bareli,Urban,160093,Male
Level,502,9,159,DISTRICT,Farrukhabad,Rural,785301,Male
Level,503,9,159,DISTRICT,Farrukhabad,Urban,220939,Male
Level,505,9,160,DISTRICT,Kannauj,Rural,734245,Male
Level,506,9,160,DISTRICT,Kannauj,Urban,147531,Male
Level,508,9,161,DISTRICT,Etawah,Rural,652740,Male
Level,509,9,161,DISTRICT,Etawah,Urban,193116,Male
Level,511,9,162,DISTRICT,Auraiya,Rural,616494,Male
Level,512,9,162,DISTRICT,Auraiya,Urban,123546,Male
Level,514,9,163,DISTRICT,Kanpur Dehat,Rural,871508,Male
Level,515,9,163,DISTRICT,Kanpur Dehat,Urban,91747,Male
Level,517,9,164,DISTRICT,Kanpur Nagar,Rural,837260,Male
Level,518,9,164,DISTRICT,Kanpur Nagar,Urban,1622546,Male
Level,520,9,165,DISTRICT,Jalaun,Rural,683656,Male
Level,521,9,165,DISTRICT,Jalaun,Urban,222436,Male
Level,523,9,166,DISTRICT,Jhansi,Rural,615629,Male
Level,524,9,166,DISTRICT,Jhansi,Urban,441807,Male
Level,526,9,167,DISTRICT,Lalitpur,Rural,549478,Male
Level,527,9,167,DISTRICT,Lalitpur,Urban,91533,Male
Level,529,9,168,DISTRICT,Hamirpur,Rural,481373,Male
Level,530,9,168,DISTRICT,Hamirpur,Urban,112164,Male
Level,532,9,169,DISTRICT,Mahoba,Rural,368009,Male
Level,533,9,169,DISTRICT,Mahoba,Urban,98349,Male
Level,535,9,170,DISTRICT,Banda,Rural,819243,Male
Level,536,9,170,DISTRICT,Banda,Urban,146633,Male
Level,538,9,171,DISTRICT,Chitrakoot,Rural,476794,Male
Level,539,9,171,DISTRICT,Chitrakoot,Urban,50927,Male
Level,541,9,172,DISTRICT,Fatehpur,Rural,1215690,Male
Level,542,9,172,DISTRICT,Fatehpur,Urban,169032,Male
Level,544,9,173,DISTRICT,Pratapgarh,Rural,1515583,Male
Level,545,9,173,DISTRICT,Pratapgarh,Urban,90502,Male
Level,547,9,174,DISTRICT,Kaushambi,Rural,773335,Male
Level,548,9,174,DISTRICT,Kaushambi,Urban,65150,Male
Level,550,9,175,DISTRICT,Allahabad,Rural,2340959,Male
Level,551,9,175,DISTRICT,Allahabad,Urban,790848,Male
Level,553,9,176,DISTRICT,Bara Banki,Rural,1533455,Male
Level,554,9,176,DISTRICT,Bara Banki,Urban,173618,Male
Level,556,9,177,DISTRICT,Faizabad,Rural,1079257,Male
Level,557,9,177,DISTRICT,Faizabad,Urban,180371,Male
Level,559,9,178,DISTRICT,Ambedkar Nagar,Rural,1067762,Male
Level,560,9,178,DISTRICT,Ambedkar Nagar,Urban,144648,Male
Level,562,9,179,DISTRICT,Sultanpur,Rural,1810496,Male
Level,563,9,179,DISTRICT,Sultanpur,Urban,104090,Male
Level,565,9,180,DISTRICT,Bahraich,Rural,1695122,Male
Level,566,9,180,DISTRICT,Bahraich,Urban,148762,Male
Level,568,9,181,DISTRICT,Shrawasti,Rural,573681,Male
Level,569,9,181,DISTRICT,Shrawasti,Urban,20216,Male
Level,571,9,182,DISTRICT,Balrampur,Rural,1027943,Male
Level,572,9,182,DISTRICT,Balrampur,Urban,86778,Male
Level,574,9,183,DISTRICT,Gonda,Rural,1669058,Male
Level,575,9,183,DISTRICT,Gonda,Urban,118088,Male
Level,577,9,184,DISTRICT,Siddharthnagar,Rural,1212141,Male
Level,578,9,184,DISTRICT,Siddharthnagar,Urban,82954,Male
Level,580,9,185,DISTRICT,Basti,Rural,1182846,Male
Level,581,9,185,DISTRICT,Basti,Urban,72426,Male
Level,583,9,186,DISTRICT,Sant Kabir Nagar,Rural,802609,Male
Level,584,9,186,DISTRICT,Sant Kabir Nagar,Urban,67047,Male
Level,586,9,187,DISTRICT,Mahrajganj,Rural,1312126,Male
Level,587,9,187,DISTRICT,Mahrajganj,Urban,69628,Male
Level,589,9,188,DISTRICT,Gorakhpur,Rural,1838726,Male
Level,590,9,188,DISTRICT,Gorakhpur,Urban,439051,Male
Level,592,9,189,DISTRICT,Kushinagar,Rural,1730377,Male
Level,593,9,189,DISTRICT,Kushinagar,Urban,87678,Male
Level,595,9,190,DISTRICT,Deoria,Rural,1373111,Male
Level,596,9,190,DISTRICT,Deoria,Urban,164325,Male
Level,598,9,191,DISTRICT,Azamgarh,Rural,2082707,Male
Level,599,9,191,DISTRICT,Azamgarh,Urban,202297,Male
Level,601,9,192,DISTRICT,Mau,Rural,858843,Male
Level,602,9,192,DISTRICT,Mau,Urban,255866,Male
Level,604,9,193,DISTRICT,Ballia,Rural,1514018,Male
Level,605,9,193,DISTRICT,Ballia,Urban,158884,Male
Level,607,9,194,DISTRICT,Jaunpur,Rural,2041217,Male
Level,608,9,194,DISTRICT,Jaunpur,Urban,179248,Male
Level,610,9,195,DISTRICT,Ghazipur,Rural,1711651,Male
Level,611,9,195,DISTRICT,Ghazipur,Urban,143424,Male
Level,613,9,196,DISTRICT,Chandauli,Rural,890630,Male
Level,614,9,196,DISTRICT,Chandauli,Urban,127275,Male
Level,616,9,197,DISTRICT,Varanasi,Rural,1076526,Male
Level,617,9,197,DISTRICT,Varanasi,Urban,845331,Male
Level,619,9,198,DISTRICT,Sant Ravidas Nagar (Bhadohi),Rural,686589,Male
Level,620,9,198,DISTRICT,Sant Ravidas Nagar (Bhadohi),Urban,120510,Male
Level,622,9,199,DISTRICT,Mirzapur,Rural,1127138,Male
Level,623,9,199,DISTRICT,Mirzapur,Urban,185164,Male
Level,625,9,200,DISTRICT,Sonbhadra,Rural,803345,Male
Level,626,9,200,DISTRICT,Sonbhadra,Urban,167999,Male
Level,628,9,201,DISTRICT,Etah,Rural,805589,Male
Level,629,9,201,DISTRICT,Etah,Urban,141750,Male
Level,631,9,202,DISTRICT,Kanshiram Nagar,Rural,612556,Male
Level,632,9,202,DISTRICT,Kanshiram Nagar,Urban,151609,Male
Level,634,10,0,STATE,BIHAR,Rural,48073850,Male
Level,635,10,0,STATE,BIHAR,Urban,6204307,Male
Level,637,10,203,DISTRICT,Pashchim Champaran,Rural,1853809,Male
